0,1,2,3,4,5,6,7
,Winged bean,PWB 17-18 (Phule Shrawani),Variety,"ICAR-AINP on Potential Crops, Mahatma Phule Krishi Vidyapeeth, Rahuri,  Maharashtra","WZ (Maharashtra), CZ (Chhattisgarh), NPZ (Uttar Pradesh) and EZ (Jharkhand state)","Suitable for irrigated well drained soil having medium fertility inKharifseason, seed yield 13.81 q/ha, green pod yield 142.96 q/ha, maturity late - 160 – 168 days (seed), 85 – 95 days (seed to pod),contains 24.95% protein, 16.01% oil, no disease and pests observed",
,Adzuki bean,Him Jwala (IC341939),Variety,"ICAR - National Bureau of Plant Genentic Resources, Shimla, Himachal Pradesh","Northern Hills zone (Himachal Pradesh, Uttarakhand) and part of Northeastern States","Suitable for Northern hilly areas during rainfedKharifseason, yield 19.54 q/ha, maturity 108 days, nutrition rich (protein 21.07%, K 1729 mg/100 g, Na 154 mg/100 g, Ca 286 mg/100 g, Fe 8.4 mg/100 g), no disease or insect pest infestation was reported under natural field conditions",
,Pillipesara,Prathama (OUAT Kalinga Pillipesara-1) (IC 524667),Variety,"ICAR-AINP on Potential Crops, Odisha University of Agriculture & Technology, Bhubaneswar, Odisha",Odisha (Eastern Zone) & Tamil Nadu (Southern Zone),"Suitable for early sowing irrigated uplands / medium lands inKharif, yield–seed 1.82 q/ha, green biomass - 157.46 q/hacontaining crude protein (17.3%), crude fibre (17.62%), ether extract (1.17%), acid soluble ash (1.60%),maturity medium (83 days), no disease or insect pest infestation was reported under natural field conditions, resistant to YMV",
,Kalingada (Water melan),SKNK 1407 (Gujarat Kalingada 3),Variety,"ICAR-AINP on Potential Crops, S.D. Agricultural University Sardarkrushinagar, Gujarat",Gujarat and Rajasthan,"Suitablefor rainfedKharifseason,yield 217 kg/ha (seed), 89.81q/ha (fruit), maturity 77 - 87 days, tolerant to drought, seeds containhigher amount of oil (33.35 %), protein, (18.13 %), Fe (5.97 mg/100g),good amount of crude fiber, phenol, Zn, lysine, no major diseases and insect-pests were observed",
,Perilla,Poorvottar Perilla-2IC-615382,Variety,"ICAR-Regional Centre for North Eastern Hill Region Umiam, Meghalaya","NHZ and NEHZ (Uttarakhand, Manipur, Meghalaya, Mizoram, Sikkim, Arunachal Pradesh and Nagaland)","Suitable for rainfedKharifhilly ecosystem for Northern Hill Zone (NHZ) and North Eastern Hill Zone (NEHZ), yield 10.33 q/ha, maturity medium-late (163.63 days), lodging tolerant, very useful asoriental medicine as an anti-asthmatic, antibacterial, antidote, antimicrobial, antipyretic, antiseptic, antispasmodic, antitussive, aromatic, carminative, diaphoretic, emollient, expectorant, pectoral, restorative, stomachic, and tonic,no diseases were observed at both vegetative and reproductive stages, resistant to aphids",
,Perilla,Poorvottar Perilla-1(IC-615369),Variety,"ICAR-Regional Centre for North Eastern Hill Region Umiam, Meghalaya","NHZ and NEHZ (Uttarakhand, Manipur, Meghalaya, Mizoram, Sikkim, Arunachal Pradesh and Nagaland)","Suitable for rainfedKharifhilly ecosystem for Northern Hill Zone (NHZ) and North Eastern Hill Zone (NEHZ), yield 11.15 q/ha, maturity medium-late (160.63 days), lodging tolerant,very useful as oriental medicine as an anti-asthmatic, antibacterial, antidote, antimicrobial, antipyretic, antiseptic, antispasmodic, antitussive, aromatic, carminative, diaphoretic, emollient, expectorant, pectoral, restorative, stomachic, and tonic, no diseases were observed at both vegetative and reproductive stages, resistant to aphids",
HORTICULTURAL CROPS,,,,,,,
Fruits,,,,,,,
,Mango,Arka Udaya,Hybrid,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka",All mango growing states,"It is a hybrid between Amrapali x Arka Anmol. Trees aresemi-vigorousand having the bunch bearing habit.The fruits have pink blush on peel and good quality. Fruit is oblong in shape with the average weight of 200-250 g,orangeyellow thick pulp with high TSS 24 (0Brix), 13.55 mg/ 100 g of total carotenoids and long keeping quality of 12-15 days. It is late bearing, having yield potential of 18-20 t/ha at the spacing of 5 m x 5 m.",
,Mango,Ambika,Hybrid,"ICAR- Central Institute for subtropical Horticulture, Lucknow- Uttar Pradesh",All mango growing states,"It is a climate resilient hybrid (Amrapali x Janardan Pasand) recommended for subtropical and tropical regions. It is a regular bearer, high yielding and late in maturity type. Fruits have attractive dark red blush on yellow coloured peel, pulp dark yellow, firm with scanty fibre.  Fruits weigh about 300-350 g, TSS is moderate (21°Brix), rich in mangiferin content. Yields about 80 kg/plant by about 10 years of planting It has good potential for both internal and export markets.",
,Mango,Arunika,Hybrid,"ICAR- Central Institute for subtropical Horticulture, Lucknow- Uttar Pradesh",All mango growing states,"It is a dwarf hybrid developed by crossing between Amrapali x Vanraj. It is a regular bearer and late in maturity. Fruits are smooth, orange yellow peel with red blush, keeping quality excellent with pleasant flavour. Medium fruit weight (190-210 g), good TSS (24.6°Brix), pulp orange-yellow, with scanty fibres and rich in mangiferin and lupeol contents. Yields about 70 kg/plant by about 10 years of planting under improved cultural practice.It has wider adaptability, suitable for growing in subtropical and tropical regions.",
,Pomegranate,Solapur Anardana,Hybrid,"ICAR-National Research Centre on Pomegranate, Solapur, Maharashtra",All pomegranate growing states,"It is a processing variety developed from three-way cross of Bhagawa x [(Ganesh x Nana) x Daru]. Fruits big (280 g), maturity period is 148-150 days, with potential yield of 30.72 kg/tree. It has red aril and rind, red good TSS (16.6°Brix), high titratable acidity (4.8%), vit. C (18.20 mg/100 g), moderate anthocyanins (456 mg/100 g with goodanardanarecovery (21.6%).It is moderately bacterial blight and drought tolerant.",
,Guava,Lalit,OpenPollinated Variety,"ICAR- Central Institute for subtropical Horticulture,  Lucknow- Uttar Pradesh",Uttar Pradesh,"Fruits are round, medium sized with thick pericarp (>1.5 cm). The variety is heavy having saffron yellow-colored fruits (185-200 g) with red blush, pulp firm, pink in colour with good sugar & acid blend. It has about 250 mg/100 g vit. ‘C’ content. Fruits have high lycopene content (4.5-6.5 mg/100 g pulp) and is adual-purpose variety suitable for both table and processing purpose.",
,Guava,Arka Kiran,OpenPollinated Variety,"ICAR-Indian Institute of Horticultural Research, Bangalore, Karnataka","Andhra Pradesh, Karnataka and Maharashtra Tamil Nadu,","Climate resilient variety having semi-vigorous growth habit. Fruits are round, medium sized (180 to 190 g),pulp is dark red, with medium soft seeds (4-6 kgf), rich in lycopene (7.41 mg/100 g pulp) and medium in ascorbic acid (190 to 200 mg/100g) with stable flavour. It yields 38 to 40 kg /tree/year after 4thyear of planting.It has wider adaptability is tropical and sub-tropical regions.",
,Bael,Swarna Vasudha,OpenPollinated Variety,"ICAR - Research Complex for Eastern Region, Patna, Bihar",Jharkhand,"It is a medium vigorous, regular bearing, big fruits (1100 to 1800 g), high yield under rainfed condition (43.8 kg/plant), high pulp recovery (>80%), TSS(>40°Brix), acidity (0.54%). The fruit is low seed content (<2%) with thin shell (< 2 mm). The plant is semi vigorous having yield potential of 17-19 t/ha in High Density Planting (5 m x 5 m).",
,Pummelo,Arka Chandra,Individual Plant Selection,"ICAR-Indian Institute of Horticultural Research, Bangalore, Karnataka",All Citrus growing states,"Arka Chandra (clone 18-5)is a clonal selection from accession 18 that is being maintained in the field gene bank at IIHR, Bengaluru. The tree is medium-sized (2.0-3.0 m) and spreading. It is a medium vigorous, Average yield 35-40 fruits/plant/season after 4 years of planting). Fruit weight ranged from 0.8-1.0kg, spheroid fruit shape and has white pulp, TSS (11-12°B), acidity (0.89%) and sweet in taste withlower amount of Naringenin (344.75 ng/ml).",
,Vegetables,,,,,,
,Tomato,Pusa Shakti,OpenPollinated Variety,"ICAR-Indian AgriculturalResearch Institute, New Delhi","Chhattisgarh, Odisha,Andhra Pradesh and Telangana","This tomato variety is suitable for open-field cultivation during May-October. Ripe fruits have a thick pericarp (7.00 mm), moderate TSS (4.8oBrix), and lycopene (6mg/100 g) content. Due to the thick pericarp, it is easy to transport.It is also tolerant to high temperatures.The average yield is 351 q/ha.",
,Tomato,Pusa Tomato Hybrid 6,Hybrid,"ICAR-Indian AgriculturalResearch Institute, New Delhi","Chhattisgarh, Orissa, Telangana and Andhra Pradesh","This tomato hybrid is resistant to four diseases including, ToLCD (tomato leaf curl disease, late blight, Fusarium-wilt and bacterialwilt.It has high Vit. C (29 mg/100 ml of juice) andis suitable for both Kharif and rabi seasons with duration of 130-150 days after planting. The fruits (80-90 g) are heart-shaped with thick pericarp (0.5 cm), moderate TSS (>4.50oBrix), high acidity (>0.4%). Average yield is 900q/ha inkharif(autumn-winter) and 600q/ha inrabi(spring-summer).",
,Bottle gourd,Kashi Shubhara,OpenPollinated Variety,"ICAR- Indian Institute of vegetable Research , Varanasi, Uttar Pradesh","Uttar Pradesh, Bihar, Jharkhand and Punjab","This variety is suitable forkharif, zaidand off-season production under low tunnel/ protected structure.Fruits are light green, smooth cylindrical (gutka type) and medium long (28-30 cm).Suitable for packaging, distance transportation and export due to better keeping quality.The yield potential is 600 q/ha.",
,Okra,Arka Nikita,Hybrid,"ICAR- Indian Institute of Horticultural Research, Bengaluru",Karnataka,"Genic Male sterility based F1hybrid resistant to YVMV disease. Fruits are dark-green, tender, smooth andfree from spines, and rich in iodine (33.38 µg/100 g FW).It has yield potential of 21 to 24 t/ha.",
,Indian bean,Kashi Bouni Sem- 207,OpenPollinated Variety,"ICAR- Indian Institute of vegetable Research , Varanasi, Uttar Pradesh","Punjab, Uttar Pradesh, Bihar, Jharkhand, Rajasthan, Gujarat, Haryana and Delhi",Bushy in growth habit(plant height 65-70 cm). First picking starts at 90-95 days after seed sowing and pods are available up to last week of March. Pods are 10-12 cm in length; 2.50-2.80 cm in width and weigh 9.0 g.It is tolerant to DYMV and high temperature 35oC).It has average yield 236 q/ha in 5 pickings.,
,Indian Bean,Arka Vistar,OpenPollinated Variety,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka",Karnataka,"It a climate resilient, pole type and photo-insensitive variety.Pods are long, thick, very broad and dark green coloured. It has pod yield of 37.0 t/ha after 120 days.",
,Muskmelon,Thar Mahima,OpenPollinated Variety,"ICAR- Central Institute for Arid Horticulture, Bikaner, Rajasthan",Rajasthan,Fruits are round (780-900 g) having TSS of 11.58-11.800Brix. Flesh is salmon orange and 2.8-3.2 cm thick. netted with sutures. It is characterized by deep lobing of leaves with marketable yield of 200 q/ha.It is tolerant to high temperature.,
,Watermelon,Thar Tripti,OpenPollinated Variety,"ICAR- Central Institute for Arid Horticulture Beechwal, Bikaner- Rajasthan","Madhya Pradesh, Maharashtra and Goa",Fruits are attractive and characterized by green stripes and round shape. The fruit weight 2.3-3.4 kg with light red flesh colour.TSS ranges from 11.5-12.170Brixand rind thickness can range from 5.0-1.8 cm; The first harvest of fruits can be carried out 75-80 days after sowing. It istolerant to mosaic disease and hasaverage yield 400 q/ha.,
,Tuber Crops,,,,,,
,Potato,Kufri Chipsona-5,"Vegetatively Propagated, self-pollinated","ICAR-Central Potato Research Institute, Shimla, Himachal Pradesh","Haryana, Uttarakhand, Uttar Pradesh, Madhya Pradesh, Gujarat Rajasthan and Chhattisgarh","It produces white cream, ovoid tubers with shallow medium eyes and creamy flesh and has good storability under ambient conditions. Medium maturing (90-100 days), high-yielding variety (35 t/ha) forprocessing (chip making) use.It has 21% tuber dry matter, low sugars (<100 mg/100 g FW) and acceptable chip clolour.It has moderate resistance to late blight.",
,Potato,Kufri Jamunia,"Vegetatively Propagated, self-pollinated","ICAR- Central Potato Research Institute, Shimla, Himachal Pradesh","Haryana, Punjab, Uttar Pradesh, Uttarakhand Plains, Madhya Pradesh, Rajasthan, Chhattisgarh, Gujarat, Odisha, Assam, West Bengal and Bihar","It produces dark purple oblong tubers with shallow eyes and purple flesh.  Medium maturing (90-100 days), high-yielding variety (32-35 t/ha) suitable for table use.It has high antioxidants (ascorbic acid: 52 mg, carotenoids: 163 ug, anthocyanins: 32 mg/100 g fresh weight) in flesh, with high tuber dry matter. It has good keeping quality.",
,Potato,Kufri Bhaskar,"Vegetatively Propagated, self pollinated","ICAR-Central Potato Research Institute, Shimla- Himachal Pradesh","Haryana, Punjab, plains of Uttarakhand, Uttar Pradesh-early season planting) and Central plains (Rajasthan, Gujarat, Chhattisgarh for main planting)","It is a heat tolerant variety having mite and hopper burn tolerance.Early-medium maturing (85-90 days),with good yield potential (30-35 t/ha) and long storability under ambient conditions. It produces white-cream ovoid, tubers with shallow medium eyes and cream coloured flesh.",
,Spices,,,,,,
,Nutmeg,Kerala Shree,OpenPollinated Variety,"ICAR-Indian Institute of Spices Research, Kozhikode, Kerala","Kerala, Tamil Nadu, and other nutmeg growing areas of India","First farmers participatory variety with bold nuts and fully covered mace. Dry nut weight of 9.1-11.2 g; Dry mace wt. of 1.6-2.1g. Nut yield of 7560 kg per ha and Mace yield of 1512 kg/ha in 8th year of planting. Nut oil and mace oil are 5.9 and 7.5%, respectively. The oleoresin in mace is 9.1%.",
,Small Cardamom,IISR Manushree,OpenPollinated Variety,"ICAR- Indian Institute of Spices Research, Kozhikode, Kerala",Karnataka and Kerala,Drought tolerantvarietywith average yield of 550 kg dry capsules/ ha under irrigated conditions and 360 kg dry capsules/ha under moisture stress conditions. Over 50 % of the capsules are bold (> 8 mm) and stable.,
,Small Cardamom,IISR Kaveri,OpenPollinated Variety,"ICAR- Indian Institute of Spices Research, Kozhikode, Kerala",Karnataka,"Drought tolerant varietywith average yield of 482 kg dry capsules/ha under irrigated conditions and 308 kg dry capsules/ha under moisture stress conditionsCompact flowering variety with 70 % of the capsules are > 8 mm.High essential oil 9.08 % (irrigated conditions), 9.51 % (moisture stress conditions) content",
,Fennel,RF-290,OpenPollinated Variety,"AICRP on Spices, S.K.N. College of Agriculture, (SKN Agriculture University) Jobner  (Rajasthan).","Rajasthan, Gujarat, Uttar Pradesh, Bihar, and Haryana","This variety is most suitable under irrigated normal conditions. Moderately cool weather favours both the yield as well as the quality of the produce.Plants are erect and tall plants, medium maturity type, more branches and umbels per plant, more umbellets and seeds per umbel and long & bold seeds. It has high yield potential.The seed yield of this variety is 2065 kg/ha.This variety is resistant to ramularia blight.",
,Ajwain,Gujarat Ajwain 3,OpenPollinated Variety,"AICRP on Spices, Sardarkrushinagar Dantiwada Agricultural University, Jagudan, Sardarkrushinagar, Gujarat","Gujarat, Rajasthan, Haryana, Andhra Pradesh, Uttar Pradesh and Chhattisgarh","High yielding with an average seed yield of 1035 kg/ha. It has a greater number of umbels per plant, number of seeds per umbel, bold seed size (Test weight 1.15 g). It is suited for growing in dry tracts",
,Mango ginger,IISR Amrit,OpenPollinated Variety,"ICAR- Indian Institute of Spices Research, Marikunnu, (Post) Kozhikode, Kerala","Kerala, Bihar, Odisha, West Bengal, Chhattisgarh and Gujarat","Bold rhizomes, high yield (45.75 t/ha), light yellow core, desirable flavour (myrcene and β pinene), and contains 0.32% Essential oil. Tolerant to rhizome rot.",
,Plantation Crops,,,,,,
,Cocoa,Vittal Cocoa Hybrid-1,Hybrid,"ICAR- Central Plantation Crops Research Institute, Kasaragod, Kerala","Kerala, Karnataka and Tamil Nadu","Early bearing, stable, high yielder with medium canopy both under arecanut & coconut shades and suitable for high density planting. High dry beans yield 1.5-2.5 kg/tree/year in 15-18 m2canopy. Large bean size of international standard (1-1.10 g). It has desirable processing value for chocolate industry with 13% shelling, 87% nib recovery, >50% fat, 1% free fatty acids,rich in Fe and Zn contents.Withstands black pod rot and tea mosquito bug infestation and is tolerant to low moisture stress .",
,Cocoa,Vittal Cocoa Hybrid-2,Hybrid,"ICAR- CPCRI, Kasaragod, Kerala","Kerala, Karnataka, Tamil Nadu, Andhra Pradesh and Gujarat","Earlybearing, high yielder withblack pod rot disease resistanceboth under arecanut & coconut gardens. Dry beans yield 1.5-2.5 kg/tree/year in 14-20 m2canopy. Large beans (1-1.2 g), have processing value for chocolate industry. It has 13% shelling,87% nib recovery, >50% fat, 1% free fatty acids, rich in Fe and Zn contents.Suitable for high density planting and hasfield tolerance to tea mosquito bug and low moisture stress.",
,Cashew,Nethra Jumbo-1,Hybrid,"ICAR- Directorate of Cashew Research, Puttur, Dakshina Kannada District, Karnataka",Karnataka,"It is a variety suitable forrainfedconditions jumbo nuts (12 g), with premium grade kernel (W130), saves the labor on harvesting and ensures about 10% higher price due to bigger size nuts and higher yield over the standard variety Bhaskara and NRCC Selection-2. It is cluster bearing with 5-6 fruits per panicle. The nut size is uniform, Kernels are bold with 3.4 g average weight, and has easy testa peeling.",
,Cashew,Nethra Ganga (H-130),Hybrid,"ICAR- Directorate of Cashew Research, Puttur, Dakashinakannda, Karnataka",Karnataka,"It has bold nuts (12-13 g) and high yielding hybrid with cluster bearing habit, high precocity with 6-8 nuts per panicles. It has high shelling value (29.5%). An early flowering with uniform sweet kernels. It is suitable for high density planting under rainfed conditions.",
,Coconut,Kalpa Suvarna,OpenPollinated Variety,"ICAR-Central Plantation Crops Research Institute, Kasaragod, Kerala",Karnataka and Kerala,"It is a dwarf, high yielding, dual purpose coconut variety with green coloured, oblong fruits havingsweet tender coconut water andgood quality copra. Early flowering variety (30-36 months after planting),suitable for processing for tender coconut water and copra production.",
,Coconut,Kalpa Shatabdi,OpenPollinated Variety,"ICAR- Central Plantation Research Institute, Kasaragod, Kerala","Kerala, Karnataka and Tamil Nadu","This is a dual purpose coconut variety, with large fruits, suitable for copra and tender nut production. It bears greenish yellow fruits withgreater volume (612 mL) of good quality tender nut water andhighcopra content (273 g)",
,Flower Crops,,,,,,
,Marigold,Pusa Bahar,OpenPollinated Variety,"ICAR-Indian Agricultural Research Institute, New Delhi","Punjab, Uttar Pradesh, Bihar and Jharkhand, Chhattisgarh, Odisha, Andhra Pradesh andTelangana, Rajasthan, Gujarat, Haryana and Delhi,Madhya Pradesh, Maharashtra and Goa.","This variety is vigorous having plant height of 75-85 cm. It produces compact, flattened, attractive and large size (8-9 cm) flowers of yellow colour (RHS Yellow Group: 9A). It is very floriferous, producing on an average 50-60 large-sized flowers per plant. It is suitable for loose flowers, bedding in gardens as well as other floral decorations (loose flowers). It is flower is summer and tolerate high temperature.",
,Tuberose,Arka Vaibhav,Hybrid,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka","West Bengal, Assam, Punjab, Uttar Pradesh, Bihar, Rajasthan, Delhi, Maharashtra, Karnataka and Tamil Nadu","It produces double-type flowers on medium tall spikes. The flower buds are greenish in colour, florets are white in colour and ideal as a cut flower.  The spike yield ranges from 2.5-3.0 lakh spikes/ ha/ year.It has field tolerance to root knot nematode.",
,Crossandra,Arka Shreeya,Hybrid,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka","Andhra Pradesh, Maharashtra and Karnataka","Novel flower colour orange-red florets (Orange Red group 32A), high loose flower yield (2269.2 kg/ac/year), increase yield (172.67%) over Local check.Moderately resistant toPhytophthorawilt.",
,Gladiolus,Arka Amar,Hybrid,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka","Himachal Pradesh, Punjab, Jharkhand, Andhra Pradesh and Maharashtra","The flowers are red colour having red margin and white line on tepals with yellow blotch. It has a long spike (101 cm) with good rachis length (50 cm) and bears 17 florets per spike. It yields 1.81 flower spikes and 2 corms /corm and 23 cormels.It is highly resistant toFusariumwilt disease.It is suitable for cut flower, floral arrangement and garden display.",
,Gladiolus,Arka Aayush,Hybrid,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka","West Bengal, Punjab, Rajasthan and Maharashtra","Its florets are with a unique colour: Blotch Red with Yellow border. The florets are open-faced, thick, slightly ruffled and arranged in double rows. It isresistant toFusariumwiltdisease. Suitable for cut flower, bouquet preparation, floral arrangement and garden display.",
,Medicinal Plants,,,,,,
,Velvet Bean,Arka Dhanvantari,OpenPollinated Variety,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka",Karnataka,Long duration variety (180-190 days) with non-itchy trichomes on pods. High seed yield of 2- 2.5 t/ha with high L-Dopa content of 4.5 to 5.5%.It is highly drought tolerant.,
,Velvet Bean,Arka Daksha,OpenPollinated Variety,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka",Karnataka,Medium duration variety comes to maturity 150-160 days after sowing. It has non-itchy trichomes on pods.  Gives seed yield of 1.6- 2 t/ha with high L-Dopa content of 3.5 to 4.5%.,
,Ashwagandha,Arka Ashwagandha,OpenPollinated Variety,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka",Karnataka,"It is pure line selection with high dry root yield of 11.95 q/ha and total withanolide content of 0.580%. Characterized by pencil thick roots and desired root depth of around 30 cm.It has early vigour, field tolerance to bacterial wilt, late blight diseases and pests viz., Epilachna beetle, mites and aphids.",
,Mandukaparni,Arka Prabhavi,OpenPollinated Variety,"ICAR-Indian Institute of Horticultural Research, Bengaluru, Karnataka",Karnataka,It produces 13 tonnes of fresh herb and 2.3 tonnes of dry herb/ ha/ year withhigher asiaticoside content (3.85%) and higher tri-terpenoid content (7.27%). Good for herbal industries for extraction of triterpenoids.,
,,,,,,,
Sr. No.,Crop,Name of the Variety/Hybrid,Variety/ Hybrid,Sponsoring organization,Recommended for the states,Special Features,
CEREALS,,,,,,,
,Rice,CR Dhan 416 (IET 30201),Variety,"ICAR-National Rice Research Institute,Cuttack, Odisha","West Bengal, Maharashtra,Gujarat","Suitable forcoastal saline areas,yield 48.97 q/ha, maturity 125-130 days, moderately resistant to brown spot, neck blast, sheath rot, rice tungro disease, glume discoloration, resistant to brown plant hopper, grasshopper and stem borer",
,Rice,CR DHAN 810(IET 30409),Variety,"ICAR- National Rice Research Institute, Cuttack, Odisha","Odisha, West Bengal, Assam","Suitable forrainfed shallow low land, yield 42.38 q/ha, maturity 150 days, submergence tolerance for 14 days at early stage, moderately resistant to brown spot disease, moderately resistant to leaf folder and stem borer (dead heart)",
,Rice,CR Dhan 108 (IET29052),Variety,"ICAR-National Rice Research Institute, Cuttack, Odisha","Odisha, Bihar","Suitable for earlydirect seeded rainfed condition, yield 34.46 q/ha, maturity 110-114 days, moderately resistance to leaf blast, neck blast, sheath blight, plant hopper, moderately tolerant to drought",
,Rice,CSR 101 (IET-30827),Variety,"ICAR-Central Soil Salinity Research Institute, Karnal, Haryana","Uttar Pradesh, Haryana, Tamil Nadu, Karnataka","Suitable for irrigatedalkaline/saline stress areas,yield of 35.15 q/ha (alkaline stress); 39.33 q/ha (saline stress) and 55.88 q/ha (normal condition), maturity 125-130 days, MAS derived NIL of Pusa 44 (possessing two genes for bacterial blight resistance xa13 and Xa21 andsaltolQTL for salt tolerance), resistant to salinity tolerance and bacterial blight",
,Rice,Swarna PurviDhan 5 IET 29036 (RCPR 68-IR83929-B-B-291-2-1-1-2),Open Pollinated Variety,"ICAR-Research Complex for Eastern Region, Patna, Bihar","Bihar, West Bengal, Jharkhand","Suitable fordirect seeded aerobic condition in droughtprone rainfedas well as water limiting areas duringKharif, yield (normal condition - 43.69 q/ha, under moderate drought condition - 29.02 q/ha), maturity early (110-115 days), contains high amount of Zinc (25.5 ppm) and Iron (13.1 ppm), resistant to neck blast and stem rot and moderate resistant to leaf blast, brown spot, and sheath rot, tolerant to major pests like stem borer (dead heart &white ears head), gall midge, leaf folder, gall midge, rice thrip",
,Rice,DRR Dhan 73 (IET 30242),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad","Karnataka, Odisha and Telangana","Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi,yield 60 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 40 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant toleafblast",
,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad","Karnataka, Maharashtra, Telangana, Jharkhand, and regions with P deficit soil of India","Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
,Rice,DRR Dhan 78 (IET 30240),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Karnataka and Telangana,"Suitable for irrigated and rainfed shallow low land areas withlow soil P for bothKharifandRabi, yield 58 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 46 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant to leaf blast and plant hoppers",
,Rice,KKL (R) 4 (IET 30697)(KR 19011),Open pollinated Variety,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute Karaikal, Puducherry (U.T.)","Tamil Nadu,Andhra Pradesh, Telangana and Puduchery","Suitable forsubmergence stress conditions, yield 38q/ha under stress situations and 56 q/ha under normal conditions, maturity mid-early (120-125 days), MASderivedNIL entryofADT39*4/SwarnaSub1introgressedwithQTLSub1for submergence tolerance, moderately resistant to leaf blast",
,Wheat,Pusa Gehun Sharbati (HI 1665),Open pollinated Variety,"ICAR-Indian Agricultural Research Institute Regional Station, Indore, Madhya Pradesh","Maharashtra, Karnataka and Plains of Tamil Nadu","Suitable for timely sown,restricted irrigated condition, yield 33.0 q/ha, maturity 110 days, tolerant to heat and drought (heat sensitivity index 0.98 anddrought sensitivity index 0.91), excellent grain quality, bio-fortified with higher grain zinc content (40.0 ppm), resistant to leaf and stem rust",
,Durum Wheat,Pusa Gehun Gaurav(HI- 8840),Open Pollinated Variety,"Maharashtra, Karnataka and plains of Tamil Nadu","ICAR- Indian Agricultural Research Institute Regional Station, Indore- Madhya Pradesh","Suitable for irrigated conditions durum wheat variety, average grain yield  30.2 q/ha,terminal heat tolerant,resistance to stem and leaf rusts, biofortified durum wheat withhigher zinc(41.1 ppm) and iron (38.5 ppm) and protein content (~12%)",
,Barley,DWRB-219,Open Pollinated Variety,"Punjab, Haryana, Delhi, Rajasthan, (excluding Kota and Udaipur division), Western Uttar Pradesh (except Jhansi division), Jammu and Kathua district of Jammu and Kashmir, Paonta Valley and Una district of Himachal Pradesh and tarai region of Uttarakhand",ICAR- IIWBR (Indian Institute of Wheat & Barley Research) Karnal- Haryana,"Irrigated/ limited irrigationcondition of NWPZ,average yield54.49 q/ha,Maturity132 days, Resistant to yellow rustand moderately resistant for leaf rustdisease of barley, : Tolerant to lodging,Protein content: 11.4%",
,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi","Punjab, Haryana, Delhi, Uttarakhand (Plain), Uttar Pradesh (Western region), Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu","Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi","Punjab, Haryana, Delhi, Uttarakhand (Plain),Uttar Pradesh (Western region), Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu, Gujarat, Madhya Pradesh, Chhattisgarh, Rajasthan","Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
